time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-04-06T11:37:30.310Z,24.5132,122.6662,83.43,4.8,mb,,66,0.317,0.78,us,us10001ub8,2015-04-06T11:57:06.472Z,"34km W of Yonakuni, Japan",earthquake
2015-04-06T10:58:33.910Z,1.8403,-97.0712,21.36,4.9,mb,,186,14.31,0.81,us,us10001ub5,2015-04-06T11:15:33.579Z,"West of the Galapagos Islands",earthquake
2015-04-06T10:45:40.390Z,-1.4506,-77.5553,177.46,4.5,mb,,140,1.901,0.77,us,us10001ub3,2015-04-06T18:48:13.568Z,"47km E of Puyo, Ecuador",earthquake
2015-04-06T07:52:53.220Z,-8.7183,159.1296,135.64,4.9,mb,,45,1.079,0.73,us,us10001ua6,2015-04-06T15:55:31.637Z,"74km S of Dadali, Solomon Islands",earthquake
2015-04-06T07:47:25.780Z,53.1829,108.2108,10,4.6,mb,,56,3.174,0.87,us,us10001ua5,2015-04-06T15:50:00.980Z,"26km N of Turka, Russia",earthquake
2015-04-06T06:56:57.480Z,-5.8014,151.9546,36.17,4.7,mb,,132,1.613,0.72,us,us10001u9x,2015-04-06T14:59:26.727Z,"163km SSW of Kokopo, Papua New Guinea",earthquake
2015-04-06T04:58:42.520Z,43.012,145.3207,41.04,4.5,mb,,136,1.884,0.62,us,us10001u9h,2015-04-06T13:01:24.938Z,"40km SSW of Nemuro, Japan",earthquake
2015-04-05T20:51:43.820Z,-5.571,152.689,35,5.4,mwb,,53,1.467,0.6,us,us10001u5v,2015-04-06T15:56:38.000Z,"127km SSW of Taron, Papua New Guinea",earthquake
2015-04-05T17:27:51.880Z,-0.8859,120.3758,15.9,4.6,mb,,100,2.024,1.07,us,us10001u4r,2015-04-06T01:30:34.912Z,"56km E of Palu, Indonesia",earthquake
2015-04-05T13:23:52.100Z,19.7483,-156.1013,10,4.5,Ml,,244.8,0.25152828,0.17,hv,hv60887176,2015-04-06T17:34:36.518Z,"7km W of Kalaoa, Hawaii",earthquake
2015-04-05T13:00:44.210Z,-9.2916,110.3076,44.84,4.7,mb,,85,1.386,0.71,us,us10001u3t,2015-04-05T21:03:15.389Z,"148km S of Bambanglipuro, Indonesia",earthquake
2015-04-05T09:47:56.550Z,-2.0264,128.1163,48.77,4.6,mb,,73,2.878,0.62,us,us10001u3c,2015-04-05T17:50:32.671Z,"89km SSE of Laiwui, Indonesia",earthquake
2015-04-05T08:35:34.770Z,-5.4159,152.6374,35,5.3,mb,,82,1.305,1.04,us,us10001u30,2015-04-05T16:38:09.281Z,"113km SSW of Taron, Papua New Guinea",earthquake
2015-04-05T06:55:09.300Z,16.6248,-98.2072,39.24,4.8,mb,,148,0.993,0.76,us,us10001u2u,2015-04-05T07:30:53.096Z,"6km W of San Juan Cacahuatepec, Mexico",earthquake
2015-04-05T00:07:49.630Z,12.7263,-88.1215,72.38,5,mb,,107,1.045,1.25,us,us10001u1e,2015-04-05T21:19:32.040Z,"52km S of Intipuca, El Salvador",earthquake
2015-04-04T17:48:47.970Z,-6.065,130.666,114.18,5.1,mb,,39,2.006,1.36,us,us10001tzj,2015-04-05T01:51:40.073Z,"220km NNW of Saumlaki, Indonesia",earthquake
2015-04-04T12:31:06.280Z,-20.096,-177.7836,528.09,4.5,mb,,133,4.582,0.62,us,us10001txd,2015-04-04T20:34:08.231Z,"113km ENE of Ndoi Island, Fiji",earthquake
2015-04-04T12:11:30.040Z,-5.4692,152.9723,35,4.7,mb,,99,1.503,0.79,us,us10001txb,2015-04-04T20:14:07.928Z,"111km S of Taron, Papua New Guinea",earthquake
2015-04-04T08:06:19.050Z,-2.7806,127.6758,24.69,5.5,mb,,30,3.542,0.95,us,us10001tvx,2015-04-04T16:08:57.217Z,"65km WNW of Piru, Indonesia",earthquake
2015-04-04T05:27:08.350Z,-17.8242,-174.6089,5.22,4.9,mb,,116,4.751,0.72,us,us10001tvb,2015-04-04T13:29:42.954Z,"112km NW of Neiafu, Tonga",earthquake
2015-04-04T04:08:33.500Z,-5.3522,152.9185,10,5.1,mb,,45,1.377,0.86,us,us10001tui,2015-04-04T12:11:17.368Z,"98km S of Taron, Papua New Guinea",earthquake
2015-04-04T01:34:18.150Z,-56.1101,-27.2389,59.34,4.9,mb,,73,5.604,0.62,us,us10001tth,2015-04-04T09:36:55.303Z,"65km N of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake
2015-04-03T22:29:51.420Z,2.5805,127.1328,34.27,4.5,mb,,136,1.811,0.99,us,us10001tr3,2015-04-04T06:32:26.753Z,"135km NW of Tobelo, Indonesia",earthquake
2015-04-03T21:17:54.750Z,-6.3374,147.7073,28.75,5.4,mb,,19,3.095,1.08,us,us10001tqi,2015-04-04T16:00:56.040Z,"34km NNW of Finschhafen, Papua New Guinea",earthquake
2015-04-03T19:22:26.140Z,-5.0497,153.0288,56.36,5.2,mb,,47,1.212,0.88,us,us10001tnz,2015-04-04T21:30:03.928Z,"64km S of Taron, Papua New Guinea",earthquake
2015-04-03T18:48:42.290Z,0.3895,122.0709,122.92,4.8,mb,,51,1.585,0.88,us,us10001tni,2015-04-04T21:18:59.257Z,"34km WSW of Tilamuta, Indonesia",earthquake
2015-04-03T18:42:37.930Z,9.472,-83.8066,10.71,4.6,mwr,,67,0.155,1.4,us,us10001tnh,2015-04-06T01:03:42.949Z,"15km NW of San Isidro, Costa Rica",earthquake
2015-04-03T18:31:08.000Z,-36.045,-73.763,32.2,4.5,mwr,,,,1.95,us,us10001tn5,2015-04-04T21:37:00.422Z,"94km NW of Talcahuano, Chile",earthquake
2015-04-03T17:44:03.410Z,-17.34,-176.9968,382.36,5.2,mb,,19,4.74,1.19,us,us10001tmh,2015-04-04T20:53:36.526Z,"Fiji region",earthquake
2015-04-03T12:45:21.000Z,10.4652,93.2268,96.66,4.6,mb,,148,1.274,0.74,us,us10001tkc,2015-04-03T20:47:48.109Z,"142km SSE of Port Blair, India",earthquake
2015-04-03T12:37:00.920Z,13.0032,-88.6573,85.04,4.6,mb,,110,0.879,0.97,us,us10001tk0,2015-04-03T20:40:15.447Z,"33km SSW of Puerto El Triunfo, El Salvador",earthquake
2015-04-03T12:32:32.110Z,-22.9478,-176.2757,10,5.3,mb,,45,6.444,1.37,us,us10001tjy,2015-04-03T20:35:13.642Z,"223km SSW of Vaini, Tonga",earthquake
2015-04-03T10:47:48.940Z,-5.5627,152.959,39.18,4.8,mb,,99,1.576,1.03,us,us10001tjk,2015-04-03T18:50:21.852Z,"121km S of Taron, Papua New Guinea",earthquake
2015-04-03T10:31:18.600Z,-30.3266,-178.9462,10,5.3,mb,,81,1.394,1.1,us,us10001tjh,2015-04-03T18:33:47.502Z,"122km N of L'Esperance Rock, New Zealand",earthquake
2015-04-03T09:11:45.100Z,-5.6281,153.1724,10,4.9,mb,,103,1.745,0.84,us,us10001tj2,2015-04-03T17:14:16.076Z,"129km S of Taron, Papua New Guinea",earthquake
2015-04-03T08:29:27.000Z,67.836,-145.254,28.2,4.7,ml,,,,0.77,ak,ak11545097,2015-04-03T16:32:00.468Z,"55km S of Arctic Village, Alaska",earthquake
2015-04-03T06:04:17.760Z,1.7956,89.8341,10,4.8,mb,,147,7.754,0.98,us,us10001ti1,2015-04-03T14:06:52.816Z,"North Indian Ocean",earthquake
2015-04-03T04:33:37.400Z,50.0141,156.1932,88.04,4.8,mb,,155,3.238,0.87,us,us10001thw,2015-04-03T12:36:14.003Z,"74km S of Severo-Kuril'sk, Russia",earthquake
2015-04-03T01:58:59.570Z,-20.7993,-67.8119,166.48,4.6,mb,,64,1.418,1.03,us,us10001th6,2015-04-03T02:18:29.099Z,"107km WSW of Colchani, Bolivia",earthquake
2015-04-03T00:24:35.630Z,-5.6154,152.9872,26.28,4.9,mb,,95,1.635,1,us,us10001tgn,2015-04-03T08:27:01.511Z,"127km S of Taron, Papua New Guinea",earthquake
2015-04-02T21:49:03.850Z,-4.2721,143.1799,116.24,4.7,mb,,34,4.729,0.92,us,us10001tfc,2015-04-03T05:52:24.113Z,"37km E of Ambunti, Papua New Guinea",earthquake
2015-04-02T20:51:07.330Z,-6.4291,146.9467,22.76,5.4,mb,,12,2.963,0.85,us,us10001td7,2015-04-03T01:52:06.364Z,"32km N of Lae, Papua New Guinea",earthquake
2015-04-02T19:04:42.580Z,38.6112,142.0651,63.53,4.5,mb,,79,1.248,1.29,us,us10001tb2,2015-04-03T00:34:59.812Z,"59km SSE of Ofunato, Japan",earthquake
2015-04-02T18:07:10.030Z,-35.5184,-98.7841,15.7,4.6,mb,,194,20.82,0.83,us,us10001taf,2015-04-03T02:09:48.794Z,"Southeast of Easter Island",earthquake
2015-04-02T17:42:52.090Z,-23.127,179.3652,543.25,4.7,mb,,72,5.494,1.09,us,us10001ta6,2015-04-03T01:45:33.555Z,"South of the Fiji Islands",earthquake
2015-04-02T13:54:29.200Z,24.9652,145.9352,35.23,4.8,mb,,150,3.985,1.34,us,us10001t43,2015-04-02T21:57:04.458Z,"East of the Volcano Islands",earthquake
2015-04-02T12:41:21.010Z,6.5259,126.784,189.01,4.6,mb,,142,5.745,0.55,us,us10001t3m,2015-04-02T20:43:48.760Z,"62km SE of Bobon, Philippines",earthquake
2015-04-02T09:19:41.830Z,-5.5064,152.6745,35.96,4.6,mb,,161,1.402,0.82,us,us10001t2q,2015-04-02T17:22:36.517Z,"121km SSW of Taron, Papua New Guinea",earthquake
2015-04-02T07:42:02.840Z,-28.511,-71.1538,46.07,4.9,mb,,146,0.325,1.17,us,us10001t29,2015-04-02T16:10:18.000Z,"39km W of Vallenar, Chile",earthquake
2015-04-02T04:10:11.030Z,-17.8368,-178.6629,560.53,6,mwb,,20,3.13,1.27,us,us10001t0z,2015-04-02T14:22:31.000Z,"260km SE of Lambasa, Fiji",earthquake
2015-04-02T02:56:09.770Z,-4.5718,102.5482,60.29,5.1,mb,,102,0.457,0.99,us,us10001t06,2015-04-02T10:58:50.013Z,"90km SSE of Bengkulu, Indonesia",earthquake
2015-04-02T00:56:39.640Z,28.7119,86.3512,63.1,4.6,mb,,83,5.819,0.52,us,us10001szi,2015-04-02T08:59:18.973Z,"72km NNE of Chongdui, China",earthquake
2015-04-02T00:44:54.100Z,14.8081,-91.454,148.62,4.8,mb,,73,0.365,1.13,us,us10001szg,2015-04-02T08:47:22.692Z,"1km SSW of Cantel, Guatemala",earthquake
2015-04-01T21:23:54.470Z,30.3988,79.5612,10,4.9,mb,,64,9.796,0.93,us,us10001sx7,2015-04-02T09:52:05.804Z,"11km ESE of Pipalkoti, India",earthquake
2015-04-01T16:59:02.370Z,29.202,59.5626,10,4.7,mb,,81,5.19,0.74,us,us10001su5,2015-04-02T01:02:05.059Z,"117km E of Bam, Iran",earthquake
2015-04-01T16:45:22.050Z,-10.5119,-78.0506,56.45,5.2,mb,,75,1.885,0.74,us,us10001sts,2015-04-03T22:29:02.348Z,"29km NW of Paramonga, Peru",earthquake
2015-04-01T16:32:00.750Z,45.0283,150.7686,43.61,4.5,mb,,138,5.904,0.83,us,us10001stj,2015-04-02T00:34:30.108Z,"228km E of Kuril'sk, Russia",earthquake
2015-04-01T16:21:18.750Z,-1.8395,99.6549,10.3,4.5,mb,,187,2.558,0.45,us,us10001stg,2015-04-02T00:23:50.411Z,"56km ESE of Muara Siberut, Indonesia",earthquake
2015-04-01T15:56:58.370Z,51.8403,176.5995,53.68,4.6,mb,,97,1.746,1.01,us,us10001st4,2015-04-01T23:59:32.633Z,"73km SE of Buldir Island, Alaska",earthquake
2015-04-01T11:06:36.390Z,-16.0836,-172.8433,10,5.2,mb,,92,10.81,0.76,us,us10001sqq,2015-04-01T19:09:06.824Z,"98km E of Hihifo, Tonga",earthquake
2015-04-01T10:00:38.590Z,15.9542,-91.3429,17.04,4.5,mb,,90,0.65,1.04,us,us10001sq1,2015-04-01T18:03:57.610Z,"16km N of Barillas, Guatemala",earthquake
2015-04-01T09:35:58.670Z,-6.9366,132.49,24.51,5.8,mb,,33,1.573,0.95,us,us10001spt,2015-04-01T17:38:29.149Z,"143km SSW of Tual, Indonesia",earthquake
2015-04-01T08:17:26.530Z,-29.3221,-71.8034,21.18,5.5,mb,,100,1.013,1,us,us10001spm,2015-04-04T21:04:17.164Z,"82km NNW of Coquimbo, Chile",earthquake
2015-04-01T06:01:47.590Z,-5.5866,153.0197,13.91,4.6,mb,,171,1.627,0.88,us,us10001sp7,2015-04-01T14:04:21.047Z,"123km S of Taron, Papua New Guinea",earthquake
2015-04-01T02:09:10.690Z,0.9257,124.0288,214.62,4.9,mb,,74,2.323,1.04,us,us10001sn7,2015-04-01T10:11:45.509Z,"5km NNE of Lolak, Indonesia",earthquake
2015-04-01T01:13:19.200Z,-5.4419,152.1798,47.77,4.5,mb,,149,1.242,0.86,us,us10001smt,2015-04-01T09:15:53.622Z,"120km S of Kokopo, Papua New Guinea",earthquake
2015-03-31T22:14:20.820Z,-5.5736,152.5882,30.48,4.5,mb,,93,1.437,0.61,us,us10001sld,2015-04-01T06:16:51.772Z,"131km SSW of Taron, Papua New Guinea",earthquake
2015-03-31T22:04:13.450Z,-10.9378,162.8898,41.53,4.5,mb,,116,3.257,1.19,us,us10001sl4,2015-04-01T06:06:52.568Z,"118km ESE of Kirakira, Solomon Islands",earthquake
2015-03-31T16:50:22.100Z,-5.5959,152.6376,52.95,4.9,mb,,126,1.473,0.69,us,us10001sef,2015-04-01T00:53:10.736Z,"132km SSW of Taron, Papua New Guinea",earthquake
2015-03-31T15:48:43.240Z,38.3533,20.3935,24.61,4.6,mb,,85,1.66,1.13,us,us10001scl,2015-03-31T23:51:23.841Z,"17km N of Lixourion, Greece",earthquake
2015-03-31T12:18:24.370Z,-4.8472,152.5066,32.74,5.9,mwb,,24,0.735,0.91,us,us10001sbf,2015-03-31T20:20:55.974Z,"61km SSE of Kokopo, Papua New Guinea",earthquake
2015-03-31T12:15:21.930Z,-4.918,152.5934,35,5.6,mb,,21,0.839,1.47,us,us10001sbg,2015-03-31T20:18:04.069Z,"69km SW of Taron, Papua New Guinea",earthquake
2015-03-31T12:10:43.380Z,-10.9135,162.4525,47.6,5.8,mb,,37,2.868,1.08,us,us10001sbc,2015-03-31T16:51:37.000Z,"77km SE of Kirakira, Solomon Islands",earthquake
2015-03-31T09:09:24.820Z,10.0938,-84.2155,10,4.6,mb,,79,0.137,1.41,us,us10001sal,2015-04-03T18:41:53.160Z,"2km N of Sabanilla, Costa Rica",earthquake
2015-03-31T03:46:30.080Z,2.4631,128.3017,104.69,4.9,mb,,134,10.146,0.88,us,us10001s8m,2015-03-31T11:49:14.469Z,"87km NNE of Tobelo, Indonesia",earthquake
2015-03-31T02:52:19.080Z,13.1737,-44.9487,14.85,4.7,mb,,235,14.23,0.86,us,us10001s8k,2015-03-31T10:54:49.061Z,"Northern Mid-Atlantic Ridge",earthquake
2015-03-30T21:00:45.340Z,-22.6775,-66.1985,235.93,4.7,mb,,42,2.506,1.16,us,us10001s5r,2015-03-31T05:03:14.141Z,"51km W of Abra Pampa, Argentina",earthquake
2015-03-30T19:41:19.890Z,-5.4403,153.1906,28.56,4.7,mb,,91,1.608,0.74,us,us10001s4s,2015-03-31T20:50:40.978Z,"109km S of Taron, Papua New Guinea",earthquake
2015-03-30T19:38:27.300Z,-5.3107,152.994,43.52,4.5,mb,,172,1.386,0.66,us,us10001s4u,2015-03-31T20:40:09.065Z,"93km S of Taron, Papua New Guinea",earthquake
